Article,Comment,Relevance
"In Mellrichstadt hat ein 21-jähriger Mann in seinem Arbeitsumfeld mit einem Klappmesser auf Kollegen eingestochen. Eine 59-jährige Frau wurde dabei getötet, zwei Männer (55 und 62 Jahre alt) schwer verletzt. Der Tatverdächtige gestand die Tat und gab an, aus einem inneren Drang gehandelt und Drogen konsumiert zu haben. Er wurde kurz nach der Tat festgenommen und vorläufig in eine geschlossene Psychiatrie eingewiesen. Die Staatsanwaltschaft ermittelt wegen Mordes, versuchten Totschlags und gefährlicher Körperverletzung.",Kranke Welt.,1
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.","Spielplätze sind in ihrem ursprünglichen Sinn für eher kleinere Kinder gedacht. Da sitzen 2-jährige im Sandkasten, 4-jährige rutschen bis zum Abwinken, 5- oder 6-jährige klettern lieber auf Klettergerüsten herum. Mütter sitzen entspannt dabei. In der Kölner Denke gehen dann alle zu den Aktionsflächen. Hat sich im woken Wahn jemand Gedanken um den Sicherheitsaspekt gemacht? Wie soll die Sicherheit der Kleinen gewahrt bleiben? Die 38.000 Euro wären in der Sanierung der Spielplätze besser aufgehoben.  An anderer Stelle war heute zu lesen, dass die Kölner Oberbürgermeisterin den Plan eingestampft hätte.",1
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.",M.E.ungefähr so nützlich wie Schmuck am Nachthemd!,1
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.","Die sind doch nicht mehr bei Sinnen. Wie weit wollen sie die wokeness noch treiben? Bis das gesamte Volk auf die Strasse get? Natürlich ohne die Omas von rechts, versteht sich...",1
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.","Es geht bei den vielen Hinweisschildchen noch der Hinweis auf eine "" Armlänge Abstand""",1
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.",Die Stadt Köln hat eindeutig zuviel Geld. Kürzen !,1
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.","Fragt sich, was diese ""Aktionen"" denn sein sollen.",1
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.","In der Stadt in der ich lebe kenne ich zwei ""Aktionsflächen"" in denen Kinder immer weider mal gegen abend zusehen, wenn Süchtige Löffel über eine Kerze erwärmen. Man lernt dabei halt was fürs Leben.",1
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.","Wow! Ich würde sagen das die ""Menschen"" in den Amtsstuben zu viel lange Weile haben. Wir sollten mal versuchen mit der Hälfte dieser besonderen Personen zurecht zu kommen. Dann bleibt uns das schließen dieser Regelungslücken vielleicht erspart.",1
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.",Meine persönliche Wertung: Komplett irre.,1
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.","Das ist, wenn man zu bequem ist, die Spielplätze für die Kinder gegen die Fußballspieler zu verteidigen. Diese machen aus jedem Spielplatz einen Bolzplatz und nehmen den Kindern damit ihren Raum. Das hat die Stadt Köln jetzt offiziell bestätigt - es gibt keine Spielplätze mehr. Wer mit seinen Kindern nach Köln zieht, der ist wirklich selbst schuld.",1
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.","Ein Schild soll es mal wieder richten... Amn fragt sich angesichts derlei Aktivitäten seitens Verwaltung und Politik, ob die wirklich nichts Besseres/Wichtigeres zu tun haben. Das verbrannte Geld für diese Aktion hätte man bessewr direkt in die Ausstattung der Spielplätze inverstiert, statt Designagentur und Ausschüsse zu finanzieren.",1
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.","DAS ist ""unsere Demokratie""!!! Die Kosten fuer 700 neue Schilder uebernimmt der Steuerzahler? Wer die neuen Schilder will, soll die BITTE aus eigener Tasche BEZAHLEN !!!",1
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.","Bitte daran denken, „Spiel- und Aktionsflächen“ in arabischer Schrift auszuweisen und auch gleich ein Verhüllungsgebot mit auf das Schild schreiben.",1
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.","Noch mehr Idiotien aus Köln. Wo ist der Unterschied zwischen Spielplatz und Spielfläche. Darüber können sich nur jene Gedanken machen, die zuviel Freizeit, zu wenig sinnvolle Arbeit und zu wenig Grips haben.",1
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.",Das Wetter heute ist wirklich schön und sonnig.,0
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.",Ich habe gestern einen spannenden Roman gelesen.,0
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.","Fußball ist mein Lieblingssport, besonders die Bundesliga.",0
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.",Morgen habe ich einen wichtigen Termin beim Arzt.,0
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.",Meine Katze schläft den ganzen Tag auf dem Sofa.,0
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.","Ich plane, im Sommer eine Reise nach Italien zu machen.",0
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.",Das neue Restaurant in der Stadt soll sehr gut sein.,0
"Die Stadt Köln plant ab Herbst 2025 den Austausch von über 700 Schildern auf kommunalen Spielplätzen. Grund ist, dass der Begriff „Spielplatz“ nicht mehr als inklusiv genug gilt. Künftig sollen die Flächen als „Spiel- und Aktionsflächen“ bezeichnet werden, um die Diversität aller Nutzer*innen – unabhängig von Alter, kulturellem Hintergrund oder Behinderung – besser zu berücksichtigen. Das neue Schilddesign zeigt abstrakte Figuren, die keine Rückschlüsse auf Alter oder Herkunft zulassen und soll so alle ansprechen. Die Maßnahme stößt auf Kritik, unter anderem wegen fehlender Priorität angesichts des schlechten Zustands vieler Spielplätze.",Ich habe neulich einen interessanten Film im Kino gesehen.,0
"Die SPD hat auf ihrem Parteitag Ende Juni 2025 beschlossen, ein mögliches AfD-Verbotsverfahren juristisch prüfen zu lassen. Unterstützt wird sie dabei vom Künstlerkollektiv „Zentrum für Politische Schönheit“ (ZPS), das über 3.600 angebliche Beweise für verfassungsfeindliche Bestrebungen der AfD gesammelt hat. Diese Beweise bestehen überwiegend aus Zitaten von AfD-Mitgliedern, Reden und Beiträgen in sozialen Medien. Allerdings wird Kritik laut, da einige Quellen des ZPS fehlerhaft, nicht überprüfbar oder aus dem Kontext gerissen seien, was Zweifel an deren Belastbarkeit für ein Verbotsverfahren aufwirft. Das Bundesverfassungsgericht verlangt für ein Parteiverbot konkrete Nachweise für eine aktiv kämpferische Haltung gegen die demokratische Grundordnung, weshalb das Gutachten des Verfassungsschutzes allein nicht ausreicht. Eine Bund-Länder-Arbeitsgruppe soll belastbares Material zusammentragen. Der Verfassungsschutz stuft die AfD bundesweit als „gesichert rechtsextremistisch“ ein, doch einzelne Landesverbände bleiben bisher stärker im Fokus. Das ZPS versteht seine Sammlung als zivilgesellschaftlichen Beitrag für ein Verbot, wird jedoch wegen mangelnder Quellenangaben und möglicher Fehler kritisiert. Einige Beispiele zeigen, dass Zitate falsch zugeordnet oder historische Zusammenhänge missinterpretiert wurden, was die Glaubwürdigkeit der Beweislage beeinträchtigen könnte.","Handelt es sich hier um ein NGO, das aus Steuergeldern finanziert wird? Falls ja, stellt sich die Frage, ob damit eine indirekte Wahlwerbung gegen eine bestimmte Partei finanziert wird.",1
"Die SPD hat auf ihrem Parteitag Ende Juni 2025 beschlossen, ein mögliches AfD-Verbotsverfahren juristisch prüfen zu lassen. Unterstützt wird sie dabei vom Künstlerkollektiv „Zentrum für Politische Schönheit“ (ZPS), das über 3.600 angebliche Beweise für verfassungsfeindliche Bestrebungen der AfD gesammelt hat. Diese Beweise bestehen überwiegend aus Zitaten von AfD-Mitgliedern, Reden und Beiträgen in sozialen Medien. Allerdings wird Kritik laut, da einige Quellen des ZPS fehlerhaft, nicht überprüfbar oder aus dem Kontext gerissen seien, was Zweifel an deren Belastbarkeit für ein Verbotsverfahren aufwirft. Das Bundesverfassungsgericht verlangt für ein Parteiverbot konkrete Nachweise für eine aktiv kämpferische Haltung gegen die demokratische Grundordnung, weshalb das Gutachten des Verfassungsschutzes allein nicht ausreicht. Eine Bund-Länder-Arbeitsgruppe soll belastbares Material zusammentragen. Der Verfassungsschutz stuft die AfD bundesweit als „gesichert rechtsextremistisch“ ein, doch einzelne Landesverbände bleiben bisher stärker im Fokus. Das ZPS versteht seine Sammlung als zivilgesellschaftlichen Beitrag für ein Verbot, wird jedoch wegen mangelnder Quellenangaben und möglicher Fehler kritisiert. Einige Beispiele zeigen, dass Zitate falsch zugeordnet oder historische Zusammenhänge missinterpretiert wurden, was die Glaubwürdigkeit der Beweislage beeinträchtigen könnte.","Verboten werden muss lediglich DIE Partei, die andere Meinungen verbieten lassen will und Stasimethoden anwendet - die SPD nämlich. Dass es genug andere drängende Probleme zu lösen gibt haben die garnicht auf dem Radar. Reine Ablenkungsmanöver von kompletter Unfähigkeit.",1
